season,round,raceUrl,raceName,raceDate,raceTime,circuitId,circuitUrl,circuitName,lat,long,locality,country,fp1Date,fp1Time,fp2Date,fp2Time,fp3Date,fp3Time,qualifyingDate,qualifyingTime,sprintDate,sprintTime
2025,1,https://en.wikipedia.org/wiki/2025_Australian_Grand_Prix,Australian Grand Prix,2025-03-16,04:00:00+00:00,albert_park,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,2025-03-14,01:30:00+00:00,2025-03-14,05:00:00+00:00,2025-03-15,01:30:00+00:00,2025-03-15,05:00:00+00:00,,
2025,2,https://en.wikipedia.org/wiki/2025_Chinese_Grand_Prix,Chinese Grand Prix,2025-03-23,07:00:00+00:00,shanghai,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai International Circuit,31.3389,121.22,Shanghai,China,2025-03-21,03:30:00+00:00,,,,,2025-03-22,07:00:00+00:00,2025-03-22,03:00:00+00:00
2025,3,https://en.wikipedia.org/wiki/2025_Japanese_Grand_Prix,Japanese Grand Prix,2025-04-06,05:00:00+00:00,suzuka,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,2025-04-04,02:30:00+00:00,2025-04-04,06:00:00+00:00,2025-04-05,02:30:00+00:00,2025-04-05,06:00:00+00:00,,
2025,4,https://en.wikipedia.org/wiki/2025_Bahrain_Grand_Prix,Bahrain Grand Prix,2025-04-13,15:00:00+00:00,bahrain,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,2025-04-11,11:30:00+00:00,2025-04-11,15:00:00+00:00,2025-04-12,12:30:00+00:00,2025-04-12,16:00:00+00:00,,
2025,5,https://en.wikipedia.org/wiki/2025_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,2025-04-20,17:00:00+00:00,jeddah,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,2025-04-18,13:30:00+00:00,2025-04-18,17:00:00+00:00,2025-04-19,13:30:00+00:00,2025-04-19,17:00:00+00:00,,
2025,6,https://en.wikipedia.org/wiki/2025_Miami_Grand_Prix,Miami Grand Prix,2025-05-04,20:00:00+00:00,miami,https://en.wikipedia.org/wiki/Miami_International_Autodrome,Miami International Autodrome,25.9581,-80.2389,Miami,USA,2025-05-02,16:30:00+00:00,,,,,2025-05-03,20:00:00+00:00,2025-05-03,16:00:00+00:00
2025,7,https://en.wikipedia.org/wiki/2025_Emilia_Romagna_Grand_Prix,Emilia Romagna Grand Prix,2025-05-18,13:00:00+00:00,imola,https://en.wikipedia.org/wiki/Imola_Circuit,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,2025-05-16,11:30:00+00:00,2025-05-16,15:00:00+00:00,2025-05-17,10:30:00+00:00,2025-05-17,14:00:00+00:00,,
2025,8,https://en.wikipedia.org/wiki/2025_Monaco_Grand_Prix,Monaco Grand Prix,2025-05-25,13:00:00+00:00,monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,2025-05-23,11:30:00+00:00,2025-05-23,15:00:00+00:00,2025-05-24,10:30:00+00:00,2025-05-24,14:00:00+00:00,,
2025,9,https://en.wikipedia.org/wiki/2025_Spanish_Grand_Prix,Spanish Grand Prix,2025-06-01,13:00:00+00:00,catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,2025-05-30,11:30:00+00:00,2025-05-30,15:00:00+00:00,2025-05-31,10:30:00+00:00,2025-05-31,14:00:00+00:00,,
2025,10,https://en.wikipedia.org/wiki/2025_Canadian_Grand_Prix,Canadian Grand Prix,2025-06-15,18:00:00+00:00,villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,2025-06-13,17:30:00+00:00,2025-06-13,21:00:00+00:00,2025-06-14,16:30:00+00:00,2025-06-14,20:00:00+00:00,,
2025,11,https://en.wikipedia.org/wiki/2025_Austrian_Grand_Prix,Austrian Grand Prix,2025-06-29,13:00:00+00:00,red_bull_ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Red Bull Ring,47.2197,14.7647,Spielberg,Austria,2025-06-27,11:30:00+00:00,2025-06-27,15:00:00+00:00,2025-06-28,10:30:00+00:00,2025-06-28,14:00:00+00:00,,
2025,12,https://en.wikipedia.org/wiki/2025_British_Grand_Prix,British Grand Prix,2025-07-06,14:00:00+00:00,silverstone,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,2025-07-04,11:30:00+00:00,2025-07-04,15:00:00+00:00,2025-07-05,10:30:00+00:00,2025-07-05,14:00:00+00:00,,
2025,13,https://en.wikipedia.org/wiki/2025_Belgian_Grand_Prix,Belgian Grand Prix,2025-07-27,13:00:00+00:00,spa,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,2025-07-25,10:30:00+00:00,,,,,2025-07-26,14:00:00+00:00,2025-07-26,10:00:00+00:00
2025,14,https://en.wikipedia.org/wiki/2025_Hungarian_Grand_Prix,Hungarian Grand Prix,2025-08-03,13:00:00+00:00,hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,2025-08-01,11:30:00+00:00,2025-08-01,15:00:00+00:00,2025-08-02,10:30:00+00:00,2025-08-02,14:00:00+00:00,,
2025,15,https://en.wikipedia.org/wiki/2025_Dutch_Grand_Prix,Dutch Grand Prix,2025-08-31,13:00:00+00:00,zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,2025-08-29,10:30:00+00:00,2025-08-29,14:00:00+00:00,2025-08-30,09:30:00+00:00,2025-08-30,13:00:00+00:00,,
2025,16,https://en.wikipedia.org/wiki/2025_Italian_Grand_Prix,Italian Grand Prix,2025-09-07,13:00:00+00:00,monza,https://en.wikipedia.org/wiki/Monza_Circuit,Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,2025-09-05,11:30:00+00:00,2025-09-05,15:00:00+00:00,2025-09-06,10:30:00+00:00,2025-09-06,14:00:00+00:00,,
2025,17,https://en.wikipedia.org/wiki/2025_Azerbaijan_Grand_Prix,Azerbaijan Grand Prix,2025-09-21,11:00:00+00:00,baku,https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,2025-09-19,08:30:00+00:00,2025-09-19,12:00:00+00:00,2025-09-20,08:30:00+00:00,2025-09-20,12:00:00+00:00,,
2025,18,https://en.wikipedia.org/wiki/2025_Singapore_Grand_Prix,Singapore Grand Prix,2025-10-05,12:00:00+00:00,marina_bay,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,2025-10-03,09:30:00+00:00,2025-10-03,13:00:00+00:00,2025-10-04,09:30:00+00:00,2025-10-04,13:00:00+00:00,,
2025,19,https://en.wikipedia.org/wiki/2025_United_States_Grand_Prix,United States Grand Prix,2025-10-19,19:00:00+00:00,americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Circuit of the Americas,30.1328,-97.6411,Austin,USA,2025-10-17,17:30:00+00:00,,,,,2025-10-18,21:00:00+00:00,2025-10-18,17:00:00+00:00
